,steps,agents,dlt,mean,max,min
0,2,5000,blockchain,58.891385555267334,59.14096975326538,58.64180135726929
1,2,10000,blockchain,123.94043052196503,124.9684545993805,122.91240644454956
2,2,20000,blockchain,294.0940465927124,301.41706943511963,286.7710237503052
3,2,50000,blockchain,1087.647223353386,1100.6313860416412,1074.6630606651306
4,2,100000,blockchain,3380.4550631046295,3386.833286523819,3374.07683968544
5,4,5000,blockchain,56.53600996732712,56.89599061012268,56.18521523475647
6,4,10000,blockchain,127.05747985839844,131.51435351371765,123.47026467323303
7,4,20000,blockchain,293.19654393196106,296.9685275554657,289.87551069259644
8,4,50000,blockchain,1106.4618390798569,1137.3677537441254,1085.9368569850922
9,4,100000,blockchain,3362.771026790142,3393.8482913970947,3330.3595135211945
10,8,5000,blockchain,57.84589093923569,61.866782903671265,56.51203894615173
11,8,10000,blockchain,127.51347124576569,131.50817370414734,123.55956602096558
12,8,20000,blockchain,290.5527038872242,295.9743056297302,284.82514333724976
13,8,50000,blockchain,1079.0355362296104,1104.8285446166992,1060.339255809784
14,8,100000,blockchain,3341.95458984375,3433.561906814575,3268.6513447761536
