,steps,agents,dlt,mean,max,min
0,8,5,blockchain,27.97381156682968,30.78400492668152,25.96108627319336
1,8,10,blockchain,56.666952311992645,60.225506067276,52.858338356018066
2,8,15,blockchain,84.00536781549454,88.4983081817627,80.5945143699646
3,8,25,blockchain,138.30307784676552,146.70836067199707,125.30151391029358
4,8,50,blockchain,277.2897042930126,287.5600438117981,254.01846289634705
5,8,100,blockchain,568.5061063170433,600.676965713501,530.1841027736664
6,48,5,blockchain,24.585534383853275,28.0670166015625,23.497502326965332
7,48,10,blockchain,57.835861598451935,64.25786352157593,50.66292333602905
8,48,15,blockchain,87.77925882736842,93.67652630805969,74.0149450302124
9,48,25,blockchain,137.27675644059977,146.2387399673462,126.27366328239441
10,48,50,blockchain,292.822592869401,309.1504592895508,274.0941071510315
11,48,100,blockchain,579.0482748101155,620.5022747516632,534.5520453453064
